# p1 - c1 sync,p1 - c2 sync,p1 - c3 sync,p2 - c1 sync,p2 - c2 sync,p2 - c3 sync,p3 - c1 sync,p3 - c2 sync,p3 - c3 sync,p4 - c1 sync,p4 - c2 sync,p4 - c3 sync,p5 - c1 sync,p5 - c2 sync,p5 - c3 sync,c1 - p1,c1 - p2,c1 - p3,c1 - p4,c1 - p5,c2 - p1,c2 - p2,c2 - p3,c2 - p4,c2 - p5,c3 - p1,c3 - p2,c3 - p3,c3 - p4,c3 - p5
29222.52703,31877.29907,34529.67095,23336.74598,25991.51206,28643.88299,17452.18682,20106.96387,22759.31191,11568.01105,14222.80121,16875.17405,5686.73396,8341.49909,10993.86501,24.17111,24.19710,24.14608,24.48010,23.85902,22.32003,22.34602,22.87507,21.90495,22.37606,22.09997,22.17388,22.77398,21.66605,22.19701
11.83510,12.78710,12.17008,24.36399,24.36399,23.83614,46.98205,48.00701,47.08004,66.86997,67.21187,67.12103,148.22292,148.05603,148.32401,22.00913,23.27800,22.93301,25.07901,22.48120,20.92409,23.30804,21.95215,25.26879,22.42804,21.71993,23.06104,22.76587,28.58901,22.12095
32.73511,34.33514,34.13200,20.04004,20.60819,19.90318,93.78290,92.94391,93.51301,53.21813,52.99711,53.79295,75.68908,75.52314,75.80709,23.00596,25.84600,21.77191,22.76611,22.76587,21.39902,25.66910,22.38107,22.56393,22.81404,22.44306,25.95091,22.80498,21.91305,22.50791
48.04707,47.79220,47.96815,11.62696,11.64603,14.54616,90.84177,90.74688,91.09592,65.81998,66.03098,66.50996,23.15903,23.02694,23.14997,22.90297,21.87204,21.96884,23.43893,22.50099,23.69499,21.66414,22.08018,23.14591,22.32599,23.18501,18.85891,21.77310,23.02194,22.36295
12.92992,13.75985,13.00788,49.28493,48.91205,49.02697,48.90513,48.53511,48.64717,68.05301,68.20488,68.12406,22.77684,22.46189,24.87588,27.67992,22.07899,23.42796,22.85218,27.39382,24.83392,22.44306,24.11819,22.65096,27.12393,27.73690,22.48096,23.78988,22.73297,26.15595
49.28398,49.26395,49.85690,49.10302,49.06702,49.67594,14.13298,14.07313,14.09602,24.90115,24.93095,24.97506,66.65993,66.69307,66.76793,21.61694,24.51396,27.62580,21.65294,22.51792,21.55614,24.12009,27.96507,21.69800,22.55583,21.13199,24.55521,27.82798,21.58689,22.38417
71.28382,70.85395,70.86492,47.84489,48.12980,48.26498,12.75706,12.81500,12.92205,23.57483,23.60296,24.14703,68.69507,68.26615,68.27617,22.26496,23.24700,25.16794,23.58389,22.40992,22.90082,22.40300,24.68681,23.92006,23.02599,22.94588,22.39108,26.23606,23.40388,23.10491
53.03907,52.73914,53.27415,13.43012,13.17716,14.28604,73.80795,73.36497,73.53497,26.85905,26.91197,27.64010,92.83614,94.50102,93.69016,24.43290,23.41413,22.17197,22.31383,21.74401,25.82002,23.50307,24.42789,22.91512,20.56313,26.17908,22.52197,23.28300,21.44289,20.97893
100.14105,100.37398,100.40903,33.32591,34.97195,34.17802,99.78294,100.02184,100.05283,55.06206,55.41015,55.19295,31.50606,33.19001,32.36198,21.96312,22.55321,23.43917,21.75498,21.80099,21.51799,21.23284,23.25892,21.62814,20.58601,21.56997,21.89803,23.41795,22.01986,21.01612
37.32204,37.55999,37.59098,75.59109,75.36101,75.30689,52.75798,53.03001,52.76299,13.58986,13.54599,13.65089,72.11900,71.88988,71.84792,23.30709,23.96607,23.53096,24.11985,24.27888,23.11492,23.74792,22.83001,24.14799,23.94199,23.37813,23.15593,23.35119,24.13106,24.15490
94.55705,73.07696,72.48998,47.53304,46.99612,47.00708,12.60090,11.95478,12.40182,66.88499,66.94198,67.05093,18.67604,18.50009,18.62907,1.96385,22.26686,24.44816,24.48678,24.23811,25.41804,24.70994,25.34008,22.14313,23.99707,24.46985,23.56005,24.54591,24.08695,23.82112
52.90079,52.63090,52.51980,17.95411,16.73794,17.80009,30.16114,30.22504,31.67510,76.02787,75.56486,75.37699,50.12894,50.35090,50.31490,21.35491,20.50710,21.50798,23.07606,22.61901,21.87896,21.57211,21.36993,23.71693,23.56195,21.96813,20.59603,19.94014,24.04094,22.33291
23.55003,24.28699,23.49806,44.56687,44.89994,44.51585,12.35080,12.58993,11.90400,44.02804,44.36302,43.97702,61.63120,62.34717,62.99901,23.49997,22.39513,20.74003,24.02091,21.92998,22.58801,22.00890,20.55907,24.39904,21.16394,24.23787,22.48693,21.22307,25.25306,20.56408
19.41299,19.10281,19.32287,52.05798,51.94187,51.91898,54.53396,54.41689,54.39401,28.88608,28.81217,28.78904,103.18589,103.02711,104.26307,24.44291,21.87800,22.88699,22.11404,22.25184,23.94605,21.84916,23.14901,22.20416,22.34292,24.28079,21.92593,23.90003,22.37797,21.01398
20.62106,20.78295,21.69609,68.36390,65.11497,65.93895,56.34403,56.18000,57.40094,29.78206,29.54817,30.08318,60.07409,56.84710,57.65510,21.43192,19.69981,22.86410,21.94500,19.51480,21.36302,22.83001,23.10705,22.09401,22.61209,20.33091,22.18485,21.91210,21.54207,22.01605
68.92109,69.05007,69.63110,20.88881,20.50591,20.57886,13.32903,13.45491,12.72893,43.48803,43.55812,43.49399,80.66106,80.43408,80.83415,21.56687,27.18806,21.10910,22.23396,22.55297,21.44599,27.34494,21.18015,21.97504,22.83001,21.11292,28.20611,21.69991,22.94898,22.50910
13.14282,13.15284,12.78496,67.43407,67.44599,67.55996,24.55401,24.50299,24.57809,45.46595,45.40110,45.30597,54.81720,54.82817,54.93999,24.84298,24.29700,24.63102,22.98498,21.39401,24.81294,22.88795,24.59908,23.29993,21.47198,24.51086,28.18298,24.72401,23.26393,22.02916
25.63095,25.37608,25.59590,45.62998,46.22698,46.19694,91.92300,91.96591,92.45586,45.35007,45.94803,45.91918,53.46298,52.47593,53.56693,22.08996,23.13304,22.66407,23.01097,22.12787,22.89200,22.56989,22.71295,21.45195,23.14186,22.58110,23.42391,22.47190,22.45498,22.42804
22.82190,22.48502,22.43590,62.33501,62.00194,61.79404,12.86387,12.55202,12.70199,83.59504,83.16112,83.03213,30.79391,30.83801,31.30198,24.64104,21.13295,23.60296,26.84093,22.63117,25.16913,22.00103,23.10896,27.49419,22.10498,24.81890,21.63100,24.07789,27.06099,22.34793
25.97213,27.27199,25.81000,14.45103,16.23297,14.03809,88.38487,88.32693,88.29594,70.65105,70.51921,70.70017,33.17499,33.14304,33.75506,25.01607,24.74284,21.84415,21.91305,22.30000,23.56696,22.21107,21.98696,22.15505,22.27902,25.51413,23.78201,21.97599,22.11404,21.99388
