# p1 - c3 sync,c3 - p1
16091.65096,27.79603
14.68897,23.49710
11.88421,23.85092
12.65121,22.52102
26.23487,22.86100
11.91187,23.01812
12.85696,23.52619
12.33912,23.80991
12.87794,25.11597
22.95399,35.90918
13.18908,22.74394
13.42010,22.52507
14.05501,24.28293
55.53794,23.54383
12.19702,22.17007
22.42899,25.28381
12.15100,22.57681
12.51817,25.94805
32.66811,22.80712
11.84487,23.40317
12.51888,23.22006
12.83908,23.83614
12.55202,24.32323
16.44802,24.96505
12.50887,22.73297
12.27689,24.01400
13.42010,26.46804
14.19520,24.48106
36.80301,31.01611
13.41510,25.45190
14.62412,24.54400
16.68787,22.58015
12.26616,27.68517
13.14807,22.42088
32.24492,23.28920
15.86294,24.69492
12.00700,22.62020
37.84299,23.29707
14.54592,23.82684
15.68699,22.81284
12.33411,23.05293
12.56108,22.89200
14.49203,25.01798
12.66599,23.26298
16.69407,22.87388
12.79306,24.08290
12.35509,23.85998
13.45396,23.27418
12.59589,28.81408
23.88000,22.70699
12.52604,23.00000
17.88116,23.29183
14.96601,24.00899
12.14385,23.22888
16.55602,22.85910
12.51411,23.57292
13.49711,24.16801
15.00916,23.94986
13.36098,22.47310
13.85498,32.86409
17.48705,23.12303
58.18796,23.63110
12.16888,24.18280
11.92307,22.39299
33.71501,24.73879
12.74681,24.43194
28.09596,24.65510
13.39698,23.25106
31.24499,89.34402
24.11079,23.26512
16.45613,143.50986
30.96795,27.33397
14.08005,28.58090
51.81789,28.16582
13.23700,27.28796
18.92805,23.49210
12.07614,29.40702
13.74507,27.95982
12.28118,24.17517
16.77513,23.06199
13.09085,26.10588
18.27407,27.85802
15.65194,23.21410
15.59711,22.63093
16.05296,27.75812
16.35313,31.20184
24.87683,26.52693
48.06185,124.21393
32.42707,29.25992
12.58612,23.36812
13.74412,23.87500
12.89105,23.30995
12.89892,29.40297
38.51390,25.99502
64.08787,23.30685
13.91196,24.79720
15.97905,22.59278
37.24504,25.42400
29.07395,26.59893
15.99789,25.42305
13.30900,29.69694
15.85913,23.42296
38.57017,28.13196
12.73394,24.08695
18.93806,22.71485
12.77399,23.76413
16.74581,27.41599
13.50784,23.34905
43.36500,23.43988
13.51690,22.30310
13.12900,30.20787
22.62807,22.58301
12.30693,24.26505
13.28897,23.36502
13.58700,23.88215
12.74991,23.71693
14.13393,23.94009
12.24399,23.96011
12.84003,23.04292
22.56012,23.40317
13.28397,22.21394
37.34899,23.15998
12.43114,23.65518
11.78694,23.21291
16.14308,22.48216
13.69309,22.68100
13.25607,23.09394
16.05701,22.98117
13.88597,22.66312
25.54607,24.01185
31.37517,24.17278
20.95008,83.01806
14.56881,26.21102
186.22994,28.16486
11.85513,23.25821
18.74995,60.42409
61.99598,23.40198
88.92703,63.14683
13.37409,22.91012
36.10206,27.16398
12.62617,23.54217
18.25500,23.73719
12.71892,24.18423
16.80613,24.07598
14.37998,24.02592
12.54106,23.95296
12.96115,23.74101
13.14807,23.09704
12.65979,28.59211
99.46108,23.94414
15.34104,56.73099
64.35204,23.64707
12.04300,22.53103
19.26184,23.37718
12.68697,22.35198
13.85713,23.94414
12.87508,23.05698
15.95902,22.94588
15.27500,23.69785
12.46881,22.21084
12.04395,24.08695
13.18502,23.34809
12.65216,23.70596
13.03506,23.60415
11.85894,23.22197
14.42504,22.46499
12.13503,24.17898
15.30480,23.65780
12.51101,24.52588
18.21589,22.35293
12.53819,22.52603
16.13712,25.44808
13.07511,22.75801
12.26902,23.15903
11.69801,22.53199
14.63008,23.11397
11.90805,24.54495
11.85894,22.59898
12.28905,22.36795
12.44211,26.41797
11.88493,22.91703
13.34190,22.56203
16.10613,23.16022
16.34002,24.96505
13.42106,22.47190
12.12597,24.66297
13.32593,23.55194
12.12883,24.46580
17.17997,23.18096
16.89219,23.63300
14.29105,24.53518
13.03697,25.95496
12.61902,23.14401
12.65407,23.24605
12.70914,21.84391
12.98189,23.42486
13.09800,23.08106
16.89601,23.17190
12.34603,22.85910
14.98795,28.88584
16.46614,23.93198
16.86311,41.54515
12.55322,23.58198
66.13803,24.31297
11.85894,24.65796
25.58804,23.63515
23.85688,31.31104
18.60499,22.26090
12.62522,53.47681
12.74896,23.36502
47.72878,24.66106
12.47501,24.21498
13.16595,23.61321
14.74380,28.94211
11.77812,21.78216
14.75406,22.58801
11.98292,23.20218
12.55393,23.77510
13.03315,22.62998
13.00883,23.77486
12.92706,23.32497
13.01908,22.17102
17.31205,25.03204
13.24415,22.40896
12.54797,22.13717
16.53099,23.48280
12.52103,89.78319
13.01694,22.81785
15.88798,23.60892
23.16904,23.23914
13.53908,27.73595
16.32190,22.92800
15.91301,23.84591
13.73196,22.85409
14.10294,22.35198
15.79881,23.51594
15.12098,28.20206
14.22286,22.54701
12.38704,91.29906
12.07590,27.99010
13.12590,23.50116
13.51500,23.86284
13.79013,23.72289
12.15506,23.29016
12.74610,22.91298
13.15498,24.57500
18.54897,27.11105
11.63292,23.77105
12.45403,23.76103
12.22491,23.65708
12.41088,23.21815
12.31909,23.58317
12.74490,22.20702
12.34388,23.19384
12.96306,24.92285
12.33101,22.87006
13.37600,23.00000
15.95712,26.39604
12.15005,23.25606
13.80205,24.06001
12.33602,22.65811
15.94687,26.24607
13.39006,23.16904
12.83479,23.55695
12.34007,23.85902
14.24789,23.84305
17.02690,23.95082
201.06292,24.47987
12.52389,22.90797
15.21111,22.37415
12.63404,24.11413
16.54077,22.86983
32.56989,27.69709
14.22596,22.92800
15.83886,23.32091
13.65590,27.83012
19.49906,24.01400
13.52000,29.34599
15.28001,23.61107
12.77590,23.12708
12.90202,23.57316
12.16221,23.32997
12.76994,88.21702
13.01003,24.37091
13.11111,23.63491
13.49521,22.11094
13.32998,25.62690
12.79807,23.64206
13.13305,23.63682
12.67600,25.86198
13.70192,23.51904
12.60996,23.45300
14.96601,23.66710
13.58819,137.79402
12.79688,23.14496
13.05509,22.69793
11.92999,23.10586
12.54416,23.20504
16.93487,25.06208
13.85999,28.50008
12.07709,23.20814
