# p1 - c2 sync,p2 - c4 sync,c2 - p1,c4 - p2
28737.51092,35283.48207,47.76096,121.95921
26.66712,22.00890,181.95295,51.42522
41.33701,29.85787,42.76514,45.93587
28.67222,22.19105,67.35110,43.69998
64.39304,22.33195,43.56980,46.82112
23.54407,24.21498,44.14105,43.50805
285.74705,23.47612,25.30313,45.38798
22.60208,22.72296,46.47303,44.67010
23.17715,53.63297,44.16609,43.84208
22.93897,997.20788,44.38090,32.53102
84.01012,22.67790,50.52805,46.37885
22.95995,44.36922,44.47293,99.72596
24.37401,74.97096,51.16606,69.77201
25.88987,26.15213,44.39712,43.35499
66.56814,22.75801,53.56002,47.40214
42.10591,22.62807,43.49899,43.62607
28.36514,22.47810,44.05689,43.96605
32.26995,24.45698,43.48993,64.76307
23.16499,26.01409,52.31500,56.54907
23.07916,291.21685,51.76592,123.25406
23.52118,22.92395,96.25101,44.14606
22.70198,24.23286,46.27013,73.81701
22.05610,1640.14292,44.39807,51.38707
32.46498,22.32695,43.84804,70.79220
22.30406,23.20004,51.88894,182.09314
35.57587,22.84312,43.17284,47.14823
29.97804,23.58985,43.87498,48.70796
28.46813,25.14505,43.04600,213.19389
25.69914,24.39284,215.43598,83.55689
23.91005,27.07601,99.74813,44.93403
22.58897,23.66018,97.04304,66.39504
22.93897,22.17913,105.91888,45.25113
24.95289,33.31995,72.60799,86.08103
23.79990,50.80009,43.93697,214.59913
27.66514,27.81510,45.20297,43.52999
22.84598,30.13396,66.56885,46.26989
24.64199,42.29498,183.58517,42.92679
119.33112,135.02002,41.55207,48.87605
26.44205,56.38885,184.90791,44.03996
39.10208,28.70989,43.85090,45.07494
25.13695,22.48192,67.39902,44.70301
596.54117,48.35391,43.54310,110.77690
60.36806,25.04611,54.64911,45.00389
24.34015,24.26887,44.92092,185.00495
22.75705,45.34388,44.06500,43.52903
24.54495,22.78805,44.59000,44.79694
45.80593,26.87788,42.99283,43.66112
43.65301,586.00616,44.03114,22.06516
22.95995,50.70496,43.24079,46.30613
26.56102,31.31986,48.16699,46.38696
25.55394,23.21601,44.04402,43.80894
26.66712,23.09299,44.34705,44.53897
26.52001,37.83894,74.10407,43.25509
24.01686,51.64599,100.23713,45.50695
85.28686,65.67693,42.51480,44.07406
32.51004,22.44496,45.39394,43.83302
28.79500,22.92895,100.84391,64.61477
68.70699,29.34384,51.61905,43.82110
201.92099,23.32211,44.53588,53.56097
23.22412,22.34411,65.92607,46.95988
29.04415,26.27611,43.83707,42.84596
30.62916,24.05715,205.13082,43.99085
67.30986,22.30906,44.01302,50.54498
25.58994,22.66002,46.25583,43.65897
27.56906,26.56889,63.75194,176.01013
57.98292,245.84889,43.52307,47.86992
23.96798,25.69485,183.39896,43.66016
26.04890,108.24299,45.86792,235.30197
23.99206,25.25997,218.23907,42.67907
24.07002,21.94500,75.39201,44.74306
28.75996,29.47688,69.05699,43.58196
28.24616,25.04706,43.97798,44.21997
26.40510,23.95892,120.44501,45.09211
104.59208,270.74003,219.15102,35.89201
27.94385,23.24295,43.86616,43.81704
23.44584,97.11289,183.14505,43.50019
22.75801,27.75216,43.35093,45.47691
24.08695,29.67691,44.20400,44.48891
25.24686,26.88813,84.85699,47.42789
22.85004,268.46504,61.03706,54.62599
43.91408,30.45201,65.86695,43.75505
55.43995,27.33803,314.75997,44.49105
58.89702,45.17388,43.66708,43.63608
29.12402,72.44706,42.70697,50.40908
24.21403,1002.75898,43.64204,21.44885
25.44212,471.58885,45.90082,22.34387
25.20204,23.55790,141.25395,101.44711
34.27005,43.74599,205.71709,185.33301
33.35786,22.33887,42.71603,42.79208
23.26488,22.16077,157.75299,43.77413
29.82616,88.23586,109.82180,43.63298
45.15004,23.58890,44.14296,72.42012
22.27807,24.94097,43.93792,45.67385
108.10494,23.55695,74.36585,43.30206
23.64707,22.29500,64.41307,49.51906
23.73505,22.59183,44.86299,44.28196
22.08900,22.73917,44.26503,43.76197
22.38894,22.50504,42.41204,43.70093
24.55592,22.28189,85.51002,43.24412
62.53600,23.25416,42.52505,43.96486
26.60990,25.23899,175.02809,42.61804
