# p1 - c2 sync,p2 - c4 sync,c2 - p1,c4 - p2
23346.59600,35204.02980,45.64714,82.80611
23.12303,22.25399,47.80293,47.23907
24.02210,30.92408,44.45314,88.50002
23.05293,53.02000,44.79194,44.04092
24.02282,25.62594,48.94400,43.08486
33.02002,23.13900,43.33401,42.59610
22.51816,23.43202,48.38586,43.66803
44.67487,24.25003,154.09899,44.35802
28.80287,22.51720,169.08908,188.39812
64.78190,62.89697,143.29886,142.67707
26.36600,35.02798,45.37702,45.07303
23.26393,22.71986,47.92094,56.94294
61.41496,68.02988,44.75403,44.92712
22.71700,23.25797,66.00189,45.47000
37.81605,22.98093,138.71002,127.48694
25.98882,41.62097,43.43581,42.48405
28.82695,40.12609,52.74105,98.45400
39.61015,38.26404,147.02201,147.42184
28.23710,28.21684,48.97189,44.25693
24.16396,30.92599,44.13390,43.83206
23.95582,23.26798,65.31906,48.16794
107.69701,23.30279,42.47379,48.71917
28.96810,81.49815,43.41722,21.93809
30.20597,79.12588,80.74212,79.34594
47.72496,22.83287,51.63002,45.42804
24.47081,24.14799,46.16499,46.92292
56.49900,56.62704,44.76690,46.15307
24.94502,23.74411,45.93992,44.48700
22.49289,22.52102,43.23411,43.98799
54.84080,29.46782,49.34311,46.54598
25.57087,27.07195,133.87394,44.45004
25.67387,27.62198,50.30799,50.88615
22.96710,23.83614,182.75595,349.25699
48.87605,22.13407,45.67695,43.49494
68.80403,28.16105,44.16704,44.34609
34.28888,24.55091,43.56408,46.29302
51.36895,25.72894,70.93096,51.30219
34.23786,36.76701,45.33291,46.75794
44.28196,23.35811,47.18113,48.99502
33.67305,33.23793,68.51006,46.39697
24.97101,23.85306,49.72005,46.27085
44.97790,25.68412,75.81091,46.59891
23.40603,23.67401,46.17119,45.04585
24.22214,22.57490,183.79402,46.13209
31.02899,59.64303,45.41898,46.77200
38.16605,23.78488,48.59900,46.75984
23.18692,23.47994,43.85185,44.41309
22.93587,23.03386,43.15996,43.08105
46.77010,27.27199,43.13803,47.03093
38.33818,34.21998,97.58401,44.96598
42.44900,23.95797,43.92791,45.24612
22.51005,172.69301,73.56119,41.13388
22.81094,38.99312,101.48406,53.60699
24.29795,27.03118,52.49786,44.32201
42.37318,27.95196,42.97423,68.14289
27.60792,265.72299,48.04707,21.47388
23.48495,23.24319,45.33696,53.01285
31.24690,32.29594,47.81199,45.13121
61.17201,61.21683,150.29001,150.74396
425.52614,44.76023,93.26792,44.47818
26.36909,37.04810,43.71881,44.19994
53.13206,22.93706,42.01484,110.74519
30.83801,35.19702,43.38908,43.13993
25.64096,24.64199,46.68403,46.24391
26.55482,26.87597,66.88786,43.85304
25.07997,26.80993,43.64300,69.24701
26.34597,68.75992,42.18912,122.66588
75.62184,76.20406,46.63491,46.29707
22.24207,22.68004,47.95694,49.22986
23.81301,64.64291,47.13583,61.57207
33.10800,22.37892,43.67518,96.50803
25.98095,26.75414,69.95296,43.84899
23.21887,26.16501,44.27719,44.58690
97.65577,100.03996,45.70293,74.63789
46.01979,201.96891,60.40001,63.77697
25.92802,588.00316,46.12398,135.95986
387.80904,32.02987,169.48700,88.45592
24.04714,39.06298,101.75705,44.33703
25.64192,526.89600,48.35200,100.44789
22.19987,82.08394,43.71715,43.92099
1013.68690,22.37701,68.72010,44.27195
25.19202,35.78687,43.43081,48.32697
24.02902,43.96892,50.99893,45.85099
36.67903,67.78097,43.98394,43.79416
23.47589,149.54400,45.65096,77.98791
22.91608,23.21601,46.44990,46.06199
65.25707,28.18608,43.47014,43.75291
25.99120,22.68815,65.01889,232.63407
33.97989,113.90114,43.90407,44.88492
26.96896,33.08916,44.69800,78.82404
23.78917,609.85708,46.34118,22.55082
24.49107,27.82106,42.62495,43.87593
946.30909,25.59900,52.37198,102.86307
28.85795,113.40404,66.12587,357.82003
26.11685,28.90205,44.33608,47.94812
23.40508,43.41102,50.68994,44.81006
23.11182,46.27109,62.68001,43.88499
58.64096,24.80006,42.89412,44.32011
162.39905,90.06095,21.43097,105.53503
24.71519,26.88503,43.33687,47.89090
25.14315,26.54910,47.24503,46.45991
