# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
12148.20910,42270.40505,16280.22194,45192.25097,153.40900,105.63993,104.51603,0.00000
33.97393,69.82803,70.56212,33.29301,189.55517,43.78486,44.87300,47.66297
35.39896,79.59104,64.35204,243.33215,44.15798,65.72986,44.00301,206.90608
36.60083,36.50093,64.26883,75.36983,42.18292,43.00594,54.37112,42.69195
35.03585,34.20997,36.94391,47.68586,48.49195,45.00008,49.41082,44.99006
44.11602,44.08717,33.27608,33.41198,43.49303,43.77294,43.96009,43.28179
33.23197,92.52000,89.46800,34.61409,48.12503,43.52307,43.93792,486.06086
1179.14701,55.34387,34.76596,524.65105,21.27886,150.58088,154.22392,365.77296
39.29687,186.53607,200.22607,34.81007,192.98601,47.79911,45.41397,176.05305
75.72889,228.86300,206.39491,74.41592,143.96906,152.65012,269.23895,142.15302
37.00590,37.78481,47.14680,1138.66687,45.99500,53.82299,45.23277,207.61585
33.85997,85.32000,65.21988,33.87904,50.82989,228.72591,42.66000,56.13399
73.86494,106.69994,113.14988,80.93286,212.47506,43.22982,43.05196,43.56098
33.67901,73.30394,62.47783,34.57189,65.58394,53.06888,46.78488,44.58284
48.96808,1263.33809,162.35900,45.86101,138.64398,44.44790,66.01286,116.16111
37.63700,38.15889,52.36387,1350.08287,42.40012,42.05394,41.95094,50.16303
42.46688,43.04790,74.04017,74.07808,49.38889,98.84000,48.77806,98.83595
50.80795,186.74302,208.37617,49.75915,146.58499,78.19200,51.60403,146.50083
43.86592,88.80901,61.27787,596.53091,44.51203,78.17316,76.94793,53.08199
35.60901,35.49385,41.94498,42.64498,44.40308,80.48296,44.71302,301.46217
35.05683,34.27482,36.64398,36.50093,68.34221,45.32099,232.07402,45.35484
118.48283,118.08991,40.22694,40.05694,41.86296,42.84096,42.68312,42.80996
41.07809,141.91198,41.34297,2328.00913,41.85295,73.48585,22.57705,425.40097
42.05585,42.17291,67.91687,317.11197,80.20592,183.71320,80.46699,55.47595
58.73895,59.03196,33.35094,33.30302,51.13411,45.20798,51.27692,44.84606
317.93880,91.90083,70.07384,35.99501,22.30692,44.12699,92.95416,45.47715
67.83891,102.15306,102.37122,68.28499,44.42787,85.31189,182.98483,44.10005
487.05697,37.67610,35.10308,56.89597,189.75806,79.26488,44.65294,234.02500
32.83596,71.48385,1313.63821,32.81116,43.41102,43.88905,97.58210,43.67685
65.78398,65.86385,42.78398,42.42682,48.92206,44.31200,48.65813,44.78216
37.90593,37.53591,37.46200,37.40215,132.34806,155.89595,132.67398,45.64309
36.94892,87.92186,67.04283,38.06186,49.99304,64.48317,42.42206,50.50802
33.67591,68.06612,69.25702,34.82509,182.82199,44.36803,44.63506,379.15802
61.26499,60.98199,32.66621,55.18103,45.38417,43.88499,44.71684,43.73097
79.66208,79.35119,39.28900,39.30306,43.54310,45.04299,44.10696,44.68298
46.71001,46.65089,36.41701,36.89194,102.27013,45.61996,102.59604,44.78383
