# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
14656.17299,19963.58919,21701.23696,21700.87409,136.85083,204.34904,230.68094,204.52094
35.19893,85.09994,86.20286,2562.15906,60.46009,72.44802,321.61689,47.14608
38.97214,77.43311,82.37410,534.84702,47.79100,195.38188,43.30802,47.29509
32.86719,1217.36312,66.50400,33.36000,45.67909,43.84613,118.62898,44.48915
34.43003,76.30587,84.24616,34.42001,45.18414,83.42886,336.73096,66.78700
1055.38106,35.09998,56.80990,339.14280,44.92998,190.10997,69.01193,64.23283
35.23993,917.77396,46.81611,46.79012,397.04514,44.19613,238.08002,395.30206
46.39101,45.32814,239.49218,238.26408,44.48700,396.36612,45.04895,526.58796
765.08403,764.67586,35.38299,35.38013,43.42890,207.68213,43.25700,75.90818
977.48780,50.29678,147.43805,1408.17904,44.28387,44.27290,79.49090,44.99888
37.43291,36.66997,45.20106,749.71414,44.14821,42.86098,45.24589,45.42708
404.27303,974.97106,200.79184,121.52195,25.99907,314.63313,260.63800,124.76897
277.15087,2376.99699,348.66810,204.57006,45.52889,54.79789,23.23508,132.41410
1529.92010,288.43212,1789.27302,1533.24509,22.54891,231.11796,184.01217,79.17190
5081.78496,2938.79580,181.78391,2618.01195,22.87221,328.52292,29.11115,59.12495
3053.77984,998.83389,175.95816,1919.23714,22.97902,45.06302,136.57999,213.00292
3210.24609,1373.73614,35.88796,35.18414,23.11993,244.65895,70.54186,245.49413
1216.82215,42.06014,1454.76317,41.54515,45.35794,23.37003,255.83720,380.64790
1446.38896,35.71296,150.81310,150.71893,31.73709,209.67102,69.24796,140.48219
623.92998,1192.07501,110.69012,110.87394,377.25782,168.86711,61.07402,169.22712
41.37707,90.74187,119.70210,119.37618,44.85106,345.25514,183.56609,202.66986
1135.21099,5039.85310,678.87998,6482.37705,185.37712,92.08798,175.57693,70.19401
2573.04502,3014.93216,2804.40903,4420.02106,120.76402,21.97003,175.76408,45.16816
1729.09784,1114.91895,809.06796,2401.64304,23.66185,350.58188,149.06812,45.19105
671.00811,43.55001,35.74800,382.54714,28.39708,66.77103,70.40000,45.51911
36.95297,569.96393,47.52493,46.89288,47.90497,352.13709,151.47901,139.60195
1358.37698,34.45792,549.52502,307.76215,22.00103,64.85701,70.75596,206.24781
67.84391,66.76602,44.11101,534.67202,44.49010,68.01081,214.00189,44.62194
35.38394,1013.26394,45.00818,45.06016,45.05110,46.19503,614.00604,45.96281
36.68499,922.83702,55.80711,1852.13113,45.16101,45.27092,98.50311,83.79197
431.90408,67.84821,445.82582,110.95190,21.68107,90.21592,69.90695,52.17290
48.52486,49.00098,36.25894,35.18581,44.49105,46.29087,44.12818,46.63610
1622.02215,2388.64112,1654.98495,38.69200,183.66814,29.62995,136.56402,182.37400
1858.80518,328.82905,804.15893,2649.62697,187.46400,60.55188,582.02100,386.20687
922.23406,37.79697,1050.29678,1971.19999,23.07916,57.57403,68.26115,183.60686
34.92498,35.07996,35.35199,34.95693,46.24200,93.54496,182.85322,207.87597
1275.72203,407.98903,211.62295,38.88011,22.39799,157.99284,267.26198,427.16002
36.59701,767.57693,1204.12278,176.55993,44.03496,48.18606,37.74810,275.96903
40.36307,1030.70807,33.74290,2511.69991,44.20090,242.45095,56.15306,86.43293
254.08101,1305.02200,35.79903,471.87996,22.28117,99.96200,309.71408,629.51612
1132.60007,2046.19789,34.68585,36.24296,44.58904,44.78812,22.95280,673.75302
3018.76807,3098.92201,2093.38212,41.26501,22.51697,22.73989,32.22203,214.71596
1005.56207,1039.26706,50.27199,326.45702,23.05412,72.30496,32.29499,211.37786
1328.10998,1364.21704,119.14182,2233.14881,23.83018,68.03918,251.06502,407.36794
237.27798,339.65588,1252.20609,196.45405,22.30215,45.75992,21.71803,205.12509
51.79286,87.49986,85.93488,52.04701,67.52801,45.10498,185.42600,45.06302
