# p1 - c3 sync,c3 - p1
32095.94798,22.63808
24.68300,23.79680
12.91299,24.26600
16.58201,23.80204
12.71296,22.54105
12.71796,21.83700
12.41803,22.51911
13.41414,22.73703
16.01601,25.39396
12.73608,24.80888
12.24804,22.88604
13.22913,22.06016
14.16206,23.77319
12.36796,183.10905
13.17692,21.38090
73.16089,22.66788
47.93310,26.88813
14.86301,185.81295
78.70412,22.56393
12.66193,22.45116
12.95018,24.07098
12.34102,23.06700
13.32307,246.37198
15.81979,33.79107
14.68492,24.48297
13.12184,60.91094
23.56791,27.77791
13.38983,23.62800
13.19695,25.40898
17.26294,23.33498
12.30407,23.31710
13.31687,26.16811
11.47389,22.27116
11.92784,40.38310
12.48002,48.66290
16.16883,24.24502
32.13596,23.47994
195.50610,21.61193
12.83288,26.96204
12.12406,22.35794
12.23612,24.77884
13.01408,28.23186
136.37900,24.41883
16.10708,23.12112
12.14695,22.15695
17.86304,22.11499
14.97602,22.42708
11.82485,22.16387
12.41493,24.09887
11.64317,22.31097
12.55798,24.32489
12.40110,194.39793
11.75594,22.40396
35.18009,21.16299
12.11715,22.27998
13.74602,24.82200
13.79204,31.44598
49.38316,22.37320
11.50680,23.33999
15.88106,28.38492
11.65414,22.05396
17.70997,22.37701
13.41891,27.95696
13.09705,22.86601
16.06011,22.34983
14.71305,21.66986
16.05701,25.84410
16.59513,26.74603
12.76803,23.29183
11.99102,25.93112
17.24792,28.21708
22.62306,29.25301
12.23707,22.13502
12.56490,21.61503
12.33387,22.82286
354.38585,31.28791
20.58005,22.09496
12.81619,25.86198
22.25113,25.59304
14.16206,21.90709
16.52408,194.58318
12.52890,217.98301
12.53796,74.19014
11.76810,21.95120
11.73401,22.58992
27.38786,21.87800
11.98912,22.92109
177.89698,21.93499
15.48600,23.62990
22.64094,28.11313
14.35018,24.03498
13.61108,22.71795
12.19106,24.46508
11.96003,24.07312
16.61491,220.52717
12.98308,26.66903
13.38291,182.02806
21.00992,24.10817
12.44617,24.15800
12.37488,22.65000
12.50196,22.15099
11.26909,21.98100
16.15691,22.46499
12.50505,23.27085
14.88304,22.09592
11.58881,21.47198
14.54687,27.10509
15.23495,26.70598
20.39599,191.45107
13.34000,22.95494
12.66313,21.98291
11.89804,29.75893
16.31999,22.55797
17.21311,23.84114
23.79799,22.85004
19.19508,21.84486
13.82995,45.84908
13.81111,22.72105
13.36312,40.18211
16.89696,23.90099
48.17605,31.88992
14.77289,75.00100
11.90090,56.28395
19.71197,66.57696
31.66509,26.82495
22.02916,23.76390
18.14103,22.12620
14.29701,23.34595
13.09013,22.95709
12.92300,24.36900
12.46500,194.80491
12.22491,21.69085
13.56006,21.92616
12.03609,22.32480
12.48908,23.31400
11.72304,24.36709
1043.89405,21.34204
11.99412,23.57483
19.25898,24.83106
13.60607,21.92402
12.80904,63.35306
33.91218,32.53388
1264.98008,30.21693
13.45396,22.83096
12.43019,23.17405
11.51204,22.43996
11.60192,22.33291
11.60192,22.28999
19.56081,23.98396
19.07086,24.51205
11.51896,24.00517
11.81483,183.78687
47.79506,184.82494
11.80911,21.85488
12.57110,22.30191
810.90593,22.60709
11.63507,22.84980
11.98006,25.10905
12.58111,38.45596
11.77287,24.86110
11.53898,21.95311
13.22198,181.12612
11.93404,22.52102
11.59310,23.99516
14.29009,22.14003
11.65891,22.07303
21.10505,33.51617
12.53986,22.35198
90.81578,22.46714
12.13884,22.34888
83.78196,22.67098
11.85203,21.99292
12.39896,22.17007
12.83216,22.55917
11.90305,21.62504
11.54304,22.25804
13.38506,22.80688
17.60793,161.08704
12.10999,22.90606
620.35203,21.45505
26.77608,22.22800
11.43885,22.07303
35.10809,23.12398
12.55894,24.25694
13.11493,22.17293
630.62286,113.74307
11.51204,201.84398
12.11715,22.66407
12.22205,29.29902
14.40907,22.67408
12.30907,22.70579
80.78098,21.62099
16.40081,23.03386
18.72897,22.64786
16.70098,22.86482
263.40008,22.73703
19.17195,23.03314
15.29002,22.25685
65.85503,22.95899
