# p1 - c5 sync,p2 - c1 sync,c1 - p2,c5 - p1
52380.17702,28555.10402,140.47599,277.02403
111.52792,84.00989,207.92484,44.99006
62.82592,54.28004,42.82594,68.05110
53.02000,43.90597,45.70198,100.19398
85.78515,46.70310,194.66496,44.17992
83.02593,75.29712,44.43002,51.33104
80.71113,229.58803,44.52896,70.66607
1159.81007,85.03699,49.54100,48.87390
44.71612,1685.37784,22.40586,54.52585
45.62807,49.70598,90.46292,44.55805
103.32990,47.62793,188.56597,53.27988
45.17293,450.34814,21.64507,210.74295
48.26593,101.90392,68.21108,49.43609
3792.02294,81.10809,43.73789,188.62796
1708.05001,48.26093,371.42682,64.16297
62.75487,44.60406,179.67486,70.82701
97.48721,83.95910,64.83006,312.16407
53.97701,45.66383,65.84620,42.65404
1169.39497,93.65201,74.01299,93.26315
284.65009,85.66689,103.85990,181.98490
45.28618,45.23993,42.61899,267.42101
45.31217,73.54283,45.83406,44.98005
620.20206,49.73102,127.59686,143.10408
54.73208,44.17109,212.70514,43.54405
3021.22092,45.07303,67.10815,48.14100
983.78396,48.53797,63.27605,48.17009
51.97906,44.44885,49.71194,43.05005
49.41416,83.98890,65.42802,43.85591
1018.57114,1111.15694,31.06523,51.95689
46.50903,50.16899,218.81104,127.94089
77.19612,80.09911,42.65404,289.50810
44.71111,45.21012,45.04395,140.29098
46.23890,74.53799,66.32090,72.80898
1194.91792,72.93606,80.08289,77.56400
51.03993,48.94209,44.06714,54.69418
45.35580,54.19302,44.84010,65.99092
175.96793,63.59410,188.94696,42.49692
42.94801,405.73406,63.51399,64.26287
48.76995,78.75490,116.78791,124.85099
60.83012,51.35894,44.11697,43.86401
48.73681,44.92092,184.48710,217.87500
618.95895,70.38593,240.98992,42.16099
83.12297,46.77510,141.98804,59.49306
46.37003,45.70699,185.36901,366.86492
44.42215,530.63393,44.17300,44.94619
46.07797,43.53404,45.21108,44.57307
67.05713,48.94996,43.04004,85.09302
65.37294,72.42608,67.29817,67.17610
840.11984,76.04790,42.26804,49.43395
871.57917,53.95293,46.76104,87.70704
47.06407,44.91997,88.05394,62.59203
48.21515,45.23802,43.75792,46.12708
55.13787,59.94987,46.63301,269.03200
354.26784,74.95809,43.89381,234.84993
106.37498,87.35204,366.05811,42.41896
1245.34893,44.02494,43.80798,43.62297
49.71504,45.15290,64.58688,101.64523
549.26109,51.10884,67.85202,96.03405
224.63107,44.62600,182.17993,170.81499
44.38305,44.40904,46.24510,65.92417
399.00112,47.67203,208.99200,252.64287
56.06699,46.14902,64.64291,46.30303
89.01191,51.24116,43.19191,44.06309
108.24704,227.74410,109.72881,76.98894
50.54998,48.17700,175.51112,98.41895
80.07693,1395.20884,27.69899,42.67693
45.47620,47.64891,42.77921,219.61594
49.80683,1211.02500,40.33399,91.77899
45.15910,46.36002,43.12992,46.46516
46.57507,217.23008,34.39879,74.99290
50.77696,706.05397,28.92590,69.44919
49.77798,46.79513,435.45389,44.75904
47.96910,47.56808,42.83810,120.56589
134.90009,74.27001,196.22803,210.36816
50.08292,44.61098,44.20996,88.29188
45.97402,118.00098,44.53111,215.05499
45.19606,51.80097,44.03996,370.74804
46.25297,51.77283,183.22802,55.37391
202.24190,52.11115,43.85185,53.76101
557.91593,242.74611,108.63709,118.18600
66.20502,51.92995,44.91305,66.30611
219.97094,50.10509,351.09401,171.66400
1181.25105,67.78502,42.69886,57.62196
50.81296,94.78903,49.78991,42.19484
45.71390,174.18504,362.36000,77.41785
50.71807,76.08199,66.80703,375.59986
111.57393,45.38894,101.97902,76.14803
55.25422,65.28115,113.73591,212.82506
53.07579,43.45894,42.65714,43.98680
921.74911,44.51084,42.82904,186.05804
97.74995,109.93385,88.11998,82.04794
45.37201,74.56899,404.84881,65.23085
44.90590,48.31505,48.71702,500.16904
130.66292,493.58201,25.96903,183.29811
528.16391,49.33190,44.31391,109.00903
996.18793,44.81196,57.76906,43.03503
43.34211,50.14014,42.73605,285.96592
477.03004,44.05308,43.62702,71.02585
46.88597,44.24596,42.26589,420.64619
83.78887,44.82317,43.57600,280.31802
180.87196,46.53406,43.11299,114.02106
