# p1 - c3 sync,c3 - p1
32201.19810,35.54201
14.52589,24.94192
12.23087,22.40920
12.43711,22.83406
12.03108,23.02814
11.98316,23.24605
14.21595,363.16514
12.91990,23.10109
17.06696,24.21403
17.27700,31.04782
56.50687,22.51291
14.84394,22.64309
12.49695,22.27592
17.68112,22.59994
12.16698,34.86300
12.00509,23.16308
12.83193,50.87280
53.91192,28.97477
13.19098,45.90797
11.95097,23.65494
13.23414,23.74291
12.21800,25.37298
12.56680,23.50998
188.44104,29.20699
15.41591,27.93503
13.07917,21.67416
155.12705,22.46213
12.39991,25.16699
12.48693,23.30518
112.59913,22.35198
17.83991,25.44594
11.85989,24.11294
15.05518,23.06795
17.16495,50.79699
17.06696,23.55909
13.54790,30.82108
11.86514,24.68514
12.29095,23.57912
12.49099,22.99309
12.33220,23.36693
17.11392,23.40794
13.29017,23.55003
12.48503,24.34015
12.09903,24.07312
17.12799,22.97020
13.76891,28.95403
16.25681,30.20811
14.80985,23.24009
13.31687,24.49608
11.74808,23.37313
11.65199,25.22612
24.09315,46.95296
18.43691,26.13807
17.14396,25.90013
11.94715,22.43805
75.76799,58.68697
13.45205,22.00603
14.69779,22.00913
13.09109,22.97807
152.85397,22.92109
13.17692,22.93491
11.91688,22.14479
13.93795,21.77811
12.86006,28.10621
11.94811,23.05293
11.90519,22.07899
68.52603,22.52603
11.69300,25.55203
61.88989,23.62800
13.15188,27.97484
11.80387,23.49019
14.11104,24.08409
52.94585,27.45605
16.03007,30.38001
12.28094,25.55895
12.23516,22.19391
12.50100,23.07487
52.33002,26.46804
29.11592,22.13883
13.00502,23.74911
16.52098,22.65286
25.49005,29.20103
14.15706,69.61799
12.20894,24.20902
42.50097,24.56307
12.43305,22.83692
13.43894,23.30685
13.48901,24.30701
13.67092,22.11499
15.81407,27.76790
12.25400,22.21584
15.84101,23.75317
13.74412,23.43297
14.46009,52.32000
13.73100,22.45498
12.08687,22.29905
12.43091,24.17994
17.31300,29.35100
20.61605,24.60313
14.53805,25.30217
18.20898,28.14388
12.43091,23.60892
108.56700,29.95396
74.58997,23.56410
12.77399,22.74489
13.35478,25.48695
29.91581,134.85503
13.52882,28.72300
14.15992,21.73400
90.47890,22.90201
11.57618,23.88787
12.08496,56.55599
12.72297,24.05381
12.39514,23.77820
55.76992,27.01998
12.42900,33.64992
12.45999,23.44799
12.41899,24.56999
16.47496,23.85306
16.49499,22.49312
16.42203,27.04406
16.45899,31.26693
12.17294,23.31305
12.14099,91.70794
14.28008,22.61496
14.13393,22.14599
16.30092,29.24609
18.62693,23.10300
12.20202,26.49689
12.75206,22.99309
11.69491,23.33283
12.63309,22.86816
11.72495,22.08614
32.62901,29.50907
18.14818,22.68815
11.84011,23.36097
18.15391,56.29992
16.05988,23.32997
262.91609,23.13209
18.51916,28.06997
12.29501,23.67997
11.76190,22.12214
11.49511,22.95184
12.78090,23.60606
19.56296,22.27497
12.48097,23.19813
13.36884,22.84884
17.30990,23.15593
17.92693,27.39596
13.36622,27.56715
11.76906,23.43702
12.98785,22.85504
12.24804,23.14782
12.55417,23.16403
11.76786,22.34507
11.80315,24.01209
11.64007,30.17092
96.41790,24.28699
40.65800,23.39888
13.37099,27.14705
11.73711,22.24898
44.61503,33.22387
16.36195,22.45307
11.90591,23.58222
11.63697,24.10483
12.05707,24.13797
12.98404,24.46604
22.22490,23.20004
13.18002,22.61782
15.36989,21.80195
12.77804,24.00804
12.14600,22.55106
11.98602,22.67385
11.80983,22.23182
27.86303,22.06492
11.74116,22.55797
11.92498,23.03505
13.23509,22.70985
15.24997,24.81604
48.12193,23.21100
12.38108,22.88890
12.59995,22.22109
14.65297,22.59707
12.20798,23.40508
12.34102,23.55909
12.17198,28.67222
12.08401,23.92077
91.61901,90.49201
48.00797,24.34993
33.82993,23.80085
89.23101,22.52507
60.58621,23.20099
13.55100,23.76103
14.23287,23.95296
15.92517,96.42696
20.14112,23.36788
18.43286,24.06311
12.94303,25.31791
11.72209,27.45795
12.23493,24.98317
11.92212,24.04094
15.18703,25.99216
17.51208,23.51689
13.73887,26.94416
38.08904,22.85790
16.81304,23.14210
76.72215,23.46492
12.02488,23.09108
52.40703,22.93706
12.24494,23.16308
12.87508,23.41008
39.26182,22.91489
35.84290,25.73705
12.56895,22.65906
12.37011,22.87221
14.25910,22.03894
16.41011,22.90106
12.07209,29.26683
12.06493,22.82906
16.70790,28.24998
41.01992,23.01288
11.94596,22.29500
17.24696,22.80688
12.10284,22.80402
12.39204,25.47097
57.55997,225.45910
16.12496,28.25403
12.09092,22.04895
11.98602,23.59295
12.10999,23.38815
13.86499,22.86720
12.49313,25.39897
21.81983,22.51315
16.28900,24.64294
17.58909,24.25504
11.66987,22.51196
12.02488,22.29190
15.29288,27.97103
16.60585,21.97599
