# p1 - c2 sync,p2 - c4 sync,c2 - p1,c4 - p2
22184.83210,35106.19593,49.24083,53.08008
25.23708,25.82693,47.58906,46.71597
23.16689,23.16713,49.20912,46.07511
24.08910,23.32687,45.12906,45.36700
24.36900,64.53204,67.84391,47.30296
24.45722,105.02601,176.10312,199.84913
25.18010,30.13301,385.70380,407.89914
36.31997,50.37189,46.22602,48.16723
29.01697,35.27808,46.03386,46.06986
36.85498,52.10304,50.94600,46.85092
68.04705,71.04993,44.95096,46.08703
26.79706,29.20604,47.57214,45.96400
23.17190,34.72400,48.17581,46.17095
30.01404,34.87802,56.98514,57.06096
23.53406,45.86697,56.75507,44.78812
23.66805,32.91988,45.08305,44.99602
51.85103,31.09908,48.07496,48.10405
65.42802,22.08495,58.98213,91.16101
30.68018,23.62585,62.85095,43.03598
24.67895,22.97306,51.19300,69.98682
23.97919,24.57309,46.66090,44.43002
23.85402,25.09403,48.47288,44.05594
24.51587,22.95613,50.27699,58.79211
201.03383,31.77691,50.93002,46.10491
31.12292,26.14689,46.48399,45.82000
23.62704,76.44701,99.69401,50.46296
166.72015,31.41999,44.74807,45.16482
24.73187,26.27897,47.94312,45.83001
23.10491,46.22006,45.78710,44.51513
124.08209,28.86105,45.73703,46.11301
31.77094,82.00312,70.76907,80.73401
24.41311,31.99410,47.52994,95.13402
26.46804,23.01884,45.39609,44.15703
56.63896,30.75099,46.60916,70.72592
29.33288,22.93086,45.81404,47.54496
32.12595,23.94199,52.53410,102.93818
24.97005,31.83699,48.48695,44.34586
23.79608,124.70102,89.47206,44.56496
23.89193,24.49393,46.42391,47.09697
24.22118,29.21200,44.90089,45.88795
28.17893,34.25503,46.47613,46.96703
24.71805,69.32712,46.29493,45.54892
25.44212,33.41794,48.38395,45.00699
24.63293,56.72479,44.85798,44.99507
28.70488,33.33116,45.42279,45.13311
31.24595,24.08981,44.12699,54.49009
29.86693,24.47009,49.70288,45.56799
26.62086,22.79997,46.40508,47.59407
25.87390,35.56204,74.95904,46.71001
23.24820,35.03418,50.66609,44.16704
25.08092,115.71407,47.04690,52.50001
60.19306,51.80001,44.28101,46.86093
33.75602,23.45800,44.79980,47.16706
31.22783,31.53515,46.30780,47.30296
23.02694,28.37396,43.96605,49.36004
120.99886,23.52405,46.71407,45.93992
24.06621,24.67299,45.51506,45.24899
24.86777,24.40906,44.94691,53.24411
25.06018,41.89801,47.53017,46.49997
163.93280,134.32217,90.19113,50.09389
24.38283,23.29397,44.50297,73.27509
22.47405,125.36001,44.51394,45.73798
24.38498,26.44086,46.07916,48.37012
30.32708,37.43196,44.96098,52.32692
23.56005,23.03720,48.71297,51.71895
23.11707,42.22202,61.74493,44.34800
80.05810,29.66714,44.89398,45.23706
26.42798,35.30002,44.43502,55.82595
73.89188,36.45682,46.28611,46.32378
25.58088,23.10395,50.22311,87.24499
23.82088,82.73792,48.68793,48.58708
26.77608,27.24600,44.33012,46.69094
68.82191,26.39699,43.78295,45.36891
