# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
12197.46494,42143.29791,15147.73512,45262.83503,166.42690,70.65701,75.75798,80.50489
38.71703,10662.34207,10673.23589,38.54704,44.75617,74.22996,73.70114,44.74115
34.06692,8615.52501,8613.22403,34.15895,48.77996,74.20588,73.83704,47.03093
34.98721,6581.36106,6592.02003,34.55901,45.35890,74.22400,73.89402,45.39585
35.24590,4492.32697,4568.16697,77.49891,115.56196,48.83385,47.77598,46.01908
35.08615,2410.53319,2514.40215,116.50920,176.74494,48.92492,47.92809,176.71990
377.14314,399.62697,449.49603,40.46607,46.54217,48.93899,47.99485,397.66312
47.59192,47.65201,64.06593,63.48085,46.47803,45.61901,46.40508,46.35692
41.23902,40.93885,46.74697,69.48590,45.17102,45.65501,46.65494,46.29612
48.51794,48.94900,64.83221,87.64410,50.36712,45.73011,50.13895,44.35706
79.20790,113.69991,116.60409,82.56793,45.49694,46.00191,45.46618,45.94302
37.95195,37.95910,41.18204,52.73986,48.56300,44.47198,48.24495,43.76197
35.04205,34.38306,48.22612,70.28508,47.52302,44.37709,47.50800,45.55392
40.66014,40.21502,58.39801,81.06685,57.80911,44.29102,58.63190,44.92021
47.58501,47.48201,57.14488,57.68800,43.35093,44.61598,43.42699,43.78581
35.09617,35.28404,43.03789,43.06483,44.93499,50.99201,45.15815,50.94886
63.44008,64.07905,44.47007,42.10210,48.38300,45.36986,47.72496,47.79196
82.70097,82.57985,33.31804,33.33497,53.08199,90.28602,53.30610,90.23309
59.18217,59.53002,34.49798,43.82181,45.96806,44.16609,45.33911,46.87595
35.55393,35.41899,58.87103,58.83002,51.32318,47.23310,51.29313,47.30797
37.32514,37.48918,35.40397,35.24399,59.51190,45.34101,59.66806,45.34292
37.85181,37.91499,35.81810,35.81405,45.75610,45.15481,45.88914,44.87300
36.20887,36.17501,47.21403,46.28801,49.82519,46.56291,49.23201,47.24789
217.80491,217.83996,43.88690,43.80488,44.71684,45.87412,44.69299,46.19098
43.27393,43.49399,37.96101,37.97102,45.70794,44.97409,45.43614,44.87610
34.32322,34.72614,92.96799,93.04690,99.77293,44.97290,99.26796,44.71087
177.65498,178.14994,43.08987,43.10393,44.60216,44.92998,43.92195,45.04704
37.64391,37.76193,38.04803,38.38611,46.45300,46.03195,46.34309,45.40205
35.55107,35.61401,56.64301,56.63705,43.91599,45.44997,44.00206,45.20178
135.20217,135.13422,40.35211,40.32493,47.75691,46.18192,47.62793,46.22102
43.59889,43.44797,126.27912,126.27912,70.53804,82.71813,70.76502,82.62706
36.12399,36.43894,93.34421,93.12510,47.03188,45.62879,46.83995,45.81904
