# p3 - c1 sync,c1 - p3
49.44301,140.67221
38.83791,25.08092
20.15710,59.40604
33.87499,24.26910
37.77885,23.24200
25.89798,23.88096
18.64290,24.49894
20.08295,49.42822
29.70099,27.80008
19.55104,24.23596
40.94791,25.66814
24.34802,25.03395
52.45590,43.81013
36.63778,22.98617
20.08605,23.53096
18.53204,24.08195
24.34111,35.72106
19.27686,57.92594
26.85785,31.36015
27.58718,23.95511
22.39203,24.91307
31.17609,23.90385
19.09709,35.59685
27.94600,28.91612
24.06287,24.61696
28.35894,27.58908
66.66112,22.61686
23.99898,23.54097
36.59701,24.43886
32.27520,22.36509
39.29090,23.03314
23.76485,30.05099
32.54199,23.40293
33.63204,25.10285
20.39599,50.94600
37.62102,31.16393
24.77694,24.19901
26.14808,23.18692
19.99402,33.08511
46.14305,27.15397
18.36896,23.61298
42.65308,26.67499
38.03396,22.92991
18.49008,26.03793
21.36493,27.21786
27.25196,22.57299
30.43890,24.46890
19.00387,23.45896
22.10188,32.53508
19.39416,23.45705
47.36900,24.12915
18.90206,23.24891
19.62399,25.12503
31.40187,23.12922
22.33291,27.92811
39.86502,25.07496
29.62112,22.19605
26.65591,24.18399
39.94608,27.00186
20.41912,26.33810
31.58283,29.81400
18.99004,26.13902
19.46402,23.92101
20.19286,24.05405
20.23792,36.02386
23.81516,37.88304
22.32194,26.15404
19.08803,45.77398
48.72680,26.54004
18.15510,25.29192
19.48810,25.11787
21.53707,36.20481
36.20887,22.89605
19.98210,24.90616
20.32590,24.52087
19.59682,31.60787
36.28016,23.05818
23.92507,24.23787
39.10685,23.62704
18.65888,26.39198
26.30901,28.73206
26.62611,24.50299
18.45908,27.33207
19.16003,24.65200
37.64892,24.98102
20.60390,24.74809
31.41379,25.58017
36.97801,24.80602
27.25387,23.17882
32.21297,25.21205
47.61815,22.44401
19.63305,26.91698
27.34399,23.23604
21.14391,24.81294
19.95206,24.91498
20.49613,76.18308
41.80598,30.06506
20.24508,130.01609
36.87596,23.01502
31.74591,24.89209
21.85702,24.62482
